Ribes malvaceum var. malvaceum,175212
Ribes viburnifolium,175235
Ribes thacherianum,175231
Juglans californica,91212
Juglans regia,51240
Clinopodium douglasii,751793
Lamium amplexicaule,53160
Lepechinia fragrans,268882
Marrubium vulgare,41230
Mentha aquatica,190902
Mentha spicata,29719
Nepeta cataria,39347
Salvia apiana,392646
Salvia brandegeei,268892
Salvia columbariae,95165
Salvia leucophylla,392670
Salvia mellifera,392671
Scutellaria tuberosa,not found
Stachys rigida var. rigida,1348763
Stachys bullata,193334
Trichostema lanceolatum,201523
Hesperolinon micranthum,467609
Mentzelia affinis,642089
Mentzelia micrantha,228051
Ammannia robusta,1441980
Lythrum californicum,not found
Lythrum hyssopifolia,22511
Alcea rosea,65557
Eremalche exilis,173483
Malva assurgentiflora,145749
Malacothamnus clementinus,not found
Malacothamnus fasciculatus var. catalinensis,not found
Malacothamnus fasciculatus var. nesioticus,not found
Malva pseudolavatera,1053369
Malva nicaeensis,108536
Malva parviflora,145753
Malvella leprosa,1441990
Sidalcea malviflora ssp. malviflora,148927
Calandrinia breweri,107582
Calandrinia menziesii,339177
Cistanthe maritima,339209
Claytonia parviflora ssp. parviflora,313208
Claytonia perfoliata ssp. mexicana,384549
Claytonia perfoliata ssp. perfoliata,not found
Montia fontana,313220
Ficus carica,3494
Lysimachia arvensis,4337
Lysimachia minima,306292
Eucalyptus camaldulensis,34316
Eucalyptus cladocalyx,452569
Eucalyptus globulus,34317
Eucalyptus polyanthemos,183847
Eucalyptus sideroxylon,1541731
Eucalyptus tereticornis,183855
Abronia latifolia,not found
Abronia maritima,not found
Abronia umbellata,363197
Mirabilis laevis var. crassifolia,not found
Olea europaea,4146
Camissonia strigulosa,1267511
Camissoniopsis cheiranthifolia ssp. cheiranthifolia,not found
Camissoniopsis cheiranthifolia ssp. suffruticosa,not found
Camissoniopsis guadalupensis ssp. clementina,not found
Camissoniopsis hirtella,82154
Camissoniopsis ignota,not found
Camissoniopsis intermedia,not found
Camissoniopsis micrantha,1394143
Camissoniopsis robusta,not found
Clarkia davyi,not found
Clarkia epilobioides,145959
Clarkia prostrata,not found
Clarkia purpurea ssp. quadrivulnera,not found
Clarkia unguiculata,3937
Epilobium brachycarpum,29754
Epilobium canum ssp. angustifolium,not found
Epilobium canum ssp. canum,not found
Epilobium ciliatum ssp. ciliatum,not found
Eulobus californicus,238249
Ludwigia peploides ssp. peploides,1450662
Oenothera xenogaura,238268
Oenothera sinuosa,260697
Oenothera elata ssp. hirsutissima,not found
Castilleja affinis ssp. affinis,428852
Castilleja attenuata,428859
Castilleja densiflora,428867
Castilleja exserta,374699
Castilleja foliolosa,not found
Castilleja grisea,not found
Castilleja hololeuca,not found
Castilleja mollis,not found
Kopsiopsis strobilacea,46069
Orobanche bulbosa,not found
Orobanche californica ssp. grandis,not found
Orobanche fasciculata,48537
Orobanche parishii ssp. brachyloba,not found
Orobanche uniflora,86095
Oxalis articulata ssp. rubra,519125
Oxalis californica,not found
Oxalis corniculata,212256
Oxalis pes-caprae,53809
Dendromecon harfordii,1171687
Ehrendorferia ochroleuca,1549784
Eschscholzia californica,3467
Eschscholzia ramosa,1171704
Meconella denticulata,not found
Papaver californicum,74822
Papaver heterophyllum,72194
Papaver somniferum,3469
Platystemon californicus,56860
Romneya coulteri,56862
Diplacus aurantiacus,68869
Diplacus parviflorus,270955
Diplacus longiflorus,270957
Diplacus brevipes,188298
Diplacus puniceus,270958
Erythranthe cardinalis,188299
Erythranthe floribundus,188303
Erythranthe guttatus,4155
Diplacus brandegeei,not found
Diplacus traskiae,not found
Pittosporum undulatum,23131
Antirrhinum kelloggii,69907
Antirrhinum multiflorum,192253
Antirrhinum nuttallianum ssp. subsessile,not found
Callitriche marginata,119591
Collinsia heterophylla var. heterophylla,69908
Gambelia speciosa,90356
Keckiella cordifolia,155435
Kickxia elatine,105588
Linaria bipartita,1070244
Nuttallanthus texanus,309345
Veronica anagallis-aquatica,74693
Plantago coronopus,101996
Plantago elongata,223177
Plantago erecta,197803
Plantago lanceolata,39414
Plantago major,29818
Plantago maritima,197809
Plantago ovata var. insularis,not found
Plantago subnuda,941699
Platanus racemosa,111540
Armeria maritima ssp. californica,218587
Limonium californicum,not found
Limonium perezii,not found
Limonium sinuatum,70371
Allophyllum glutinosum,133167
Eriastrum filifolium,1570933
Gilia achilleifolia ssp. multicaulis,61917
Gilia angelensis,40767
Gilia capitata ssp. abrotanifolia,40771
Gilia clivorum,63444
Gilia nevinii,108247
Gilia tenuiflora ssp. hoffmannii,not found
Leptosiphon bicolor,91539
Leptosiphon parviflorus,91552
Leptosiphon pygmaeus ssp. pygmaeus,not found
Linanthus dianthiflorus,64424
Navarretia atractyloides,53754
Navarretia hamata ssp. leptantha,53783
Polygala californica,247874
