taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Stellariomnium,,,,,,,,,
Stellera,AJ549498.1,,,,,GU736357.1,,,
Stelligera,,,,,,,KC902232.1,,
Stemmacantha,,,,,,,,,
Stemmatella,,,,,,,,,
Stemmodontia,,,,,,,,,
Stemodia,AY492120.1,AY492164.1,,EF527455.1,,,,,
Stemodiopsis,,FN773559.1,,AJ619571.1,,FN794073.1,,,
Stemona,AB429268.1,AB040210.2,KF258200.1,KT204749.1,KT204709.1,FJ194465.1,KF298348.1,KT204727.1,
Stemonocoleus,AY955795.1,EU362051.1,,,,AF549277.1,,,
Stemonurus,,,,,,,,,
Stemotria,,,,,,,,,
Stenachaenium,EF210931.1,,,LN607702.1,,EF211026.1,,,
Stenactis,,,,,,,,,
Stenandriopsis,,,,,,,,,
Stenandrium,DQ028435.1,,,,,DQ054880.1,,,
Stenanona,,AY518802.1,,JX544772.1,AY319070.1,AY319184.1,,,
Stenanthium,AF303729.1,KR233271.1,,,KM242958.1,AF303692.1,,KR233268.1,
Stenaria,AM939546.1,,,,AJ288606.1,AF333374.1,,,
Stenia,AY870025.1,EF079241.1,,,,AY869837.1,,,
Stenocactus,,FN997084.1,,,,HM041355.1,,,
Stenocarpha,,,,,,,,,
Stenocarpidiopsis,,,,,,,,,
Stenocarpidium,,,,,,,,,
Stenocarpus,EU676088.1,EU169665.1,,JQ257304.1,U79174.1,KC428611.1,,AF060431.1,
Stenocephalum,KM053332.1,,,KM243879.1,,,,,
Stenocereus,AY181588.1,FN997547.1,,,KJ568437.1,HM041360.1,,,
Stenochlaena,,JF832289.1,,,U05945.1,KJ170856.1,,EF463358.1,
Stenocline,,,,,,,,,
Stenocoelium,FJ489386.1,,,,,,,,
Stenocoryne,,,,,,,,,
Stenodesmus,,,,,,,,,
Stenodictyon,HQ443773.1,,,,,,,,
Stenodon,AY553725.1,,,,,,,,
Stenodrepanum,,JX219467.1,,,,JX219462.1,,,
Stenofilix,,,,,,,,,
Stenoglottis,AF348065.1,AY368387.1,,,AM235042.1,,,,
Stenogonum,JQ352583.1,,,,,JQ352732.1,,,
Stenogrammitis,,,,,AY460650.1,GU387241.1,,GU376625.1,
Stenogyne,KF529652.1,HQ911567.1,,,AF502026.1,KF529959.1,,,
Stenolejeunea,,,,,,,,,
Stenolepia,,,,,,,,,
Stenolobus,,,,,,,,,
Stenoloma,,,,,,,,,
Stenomeria,,,,,,,,,
Stenomeris,,AY973836.1,,,AF307475.1,JQ733888.1,DQ786087.1,AF308018.1,
Stenomesson,JX464329.1,JX464599.1,,FJ264208.1,Z69217.1,JX464414.1,,JX903774.1,
Stenopadus,KF989518.1,KF989846.1,,EU385207.1,EU385019.1,KF989624.1,,,
Stenopetalum,GQ424564.1,,,DQ288833.1,FN594850.1,,,,
Stenophalium,KT865595.1,,,,,,,,
Stenophyllus,,,,,,,,,
Stenops,,,,,,,,,
Stenoptera,AJ539512.1,AJ543940.1,,,FJ571360.1,FJ571306.1,,FJ571209.1,
Stenorrhipis,,,,,,,,,
Stenorrhynchos,FN996946.1,AJ543932.1,,,FJ571359.1,FN996960.1,,FJ571208.1,
Stenosemia,,,,,,,,,
Stenosemis,AM408874.1,,,,,,,,
Stenosepala,AF183801.1,,,KF965139.1,KF964885.1,AF201065.1,,,
Stenoseris,,,,,,,,,
Stenosiphon,,,,,,,,,
Stenosolenium,,,,,,,,,
Stenospermation,,AM920561.1,,,AM905738.1,KJ128258.1,,,
Stenostegia,,,,,,,,,
Stenostelma,AM396859.1,,,,,AY163722.1,,,
Stenostephanus,AF289791.1,,,,,,,,
Stenostomum,DQ063697.1,HM446656.1,,GQ852282.1,X83624.1,AF102378.2,,,
Stenotaenia,,,,,,,KF569256.1,,
Stenotalis,,,,,,,,,
Stenotaphrum,AF521902.1,HE574145.1,,AM849189.1,LN908019.1,EU939985.1,,,
Stenotheciopsis,,,,,,,,,
Stenothecium,,,,,,,,,
Stenotis,,,,,,,,,
Stenotus,,,,,,,GU194680.1,,
Stenotyla,AY870062.1,AY869963.1,,,,AY869875.1,,,
Stephanachne,JF697737.1,FR694889.1,,JF697900.1,,,,,
Stephanandra,,,,,,,,,
Stephanbeckia,JN837167.1,JN837451.1,,JN837347.1,,JN837257.1,,,
Stephania,KJ566149.1,KC494050.1,,JN051722.1,FJ026509.1,JX944498.1,,HQ260858.1,
Stephaniella,,,,,,,,,
Stephaniellidium,,,,,,,,,
Stephanocereus,,,,,,,,,
Stephanochilus,AY012301.1,,,,,,,,
Stephanococcus,,,,,,,,,
Stephanodaphne,AJ744925.1,GQ248204.1,,,AM398185.1,,,,
Stephanodoria,,,,,,,,,
Stephanomeria,AF473635.1,AJ633245.1,,,GQ429024.1,GQ429030.1,,,
Stephanopholis,,,,,,,,,
Stephanopodium,,,,,,,,,
Stephanostegia,,,,,,,,,
Stephanostema,,DQ660543.1,,,X91770.1,EF456248.1,,,
Stephanothelys,,,,,,,,,
Stephanotis,,HQ327529.1,,AJ235826.1,AJ419762.1,HQ327494.1,,,
Steppomitra,,,,,,,,,
Steptorhamphus,,EU363581.1,,,,,,,
Sterculia,KP093002.1,KU519690.1,DQ401402.1,AF111747.1,JQ625865.2,AY328152.1,AF207029.1,GU981701.1,
Stereocaryum,,,,,,,,,
Stereochilus,EF670386.1,EF655796.1,,,,EF670420.1,,,
Stereochlaena,,,,JN604708.1,,,,,
Stereodon,HE660027.1,,,,AB332262.1,,,,
Stereodontopsis,,,,,AB332245.1,,,,
Stereohypnum,,,,,,,,,
Stereophyllum,AY999176.1,,,,DQ467880.1,AF472484.1,,,
Stereosandra,,,,,,,,,
Stereospermum,KF199892.1,LC129166.1,,EF105025.1,JQ933491.1,EF105085.1,,,
Sterigmapetalum,AF130317.1,,,,AF127671.1,AF127732.1,,,
Sterigmostemum,DQ357591.1,JF926655.1,,DQ288834.1,JN847818.1,FN677640.1,,,
Steriphoma,,EU371787.1,KU739680.1,EU373700.1,KU739610.1,,,,
Sternbergia,HM010972.1,JX464575.1,,HM011010.1,AF116984.1,AY357138.1,,,
Stetsonia,AY064345.1,AY015320.1,,,AM502584.1,HM041361.1,,,
Steudnera,AF469042.1,EU886586.1,,,KC466595.1,AF469029.1,,,
Stevenia,,,,,,,GQ409220.1,,
Steveniella,AM711746.1,FR832840.1,,,,,,,
Stevensia,AY730308.1,,,GQ852281.1,GQ852358.1,,,,
Stevia,AB457325.1,AY215865.1,,KP454987.1,AY215182.1,AY216242.1,,,
Steviopsis,JQ737021.1,,,,,,,,
Stewartia,,,,,,,FR686749.1,,
Stewartiella,,,,,,,,,
Steyerbromelia,,,,,,,,,
Steyermarkia,,,,,,,,,
Steyermarkiella,,,,,,,,,
Steyermarkina,KP454424.1,,,KP454990.1,,,,,
Steyermarkochloa,,,,JN604709.1,,,,,
Sticherus,,,,,AY612684.1,JX569718.1,AY612740.1,EF463447.1,
Stichianthus,,,,,,,,,
Stichoneuron,AB429269.1,KT205006.1,,KT204960.1,KT204975.1,,AF309407.1,AF168947.1,
Stichorkis,AY907084.1,HG970138.1,,,,,,,
Stictocardia,AF309156.1,KR025021.1,,,AY100971.1,AY101079.1,,AY100762.1,
Stictolejeunea,DQ987298.1,,,,DQ983728.1,DQ987404.1,,,
Stifftia,KF989519.1,KF989847.1,,EU385208.1,EU385020.1,JF920298.1,,KM192031.1,
Stigmaphyllon,AF436778.1,HQ247393.1,,AF351077.1,AF344514.1,,AB233590.1,AB233694.1,
Stigmatocarpum,,,,,,,,,
Stigmatodactylus,AF391787.1,AJ310075.1,,,,AJ409453.1,,,
Stigmatopteris,,,,,KJ464507.1,DQ514523.1,,EF463444.1,
Stigmatorhynchus,,,,,,,,,
Stilbanthus,,,,,,,,,
Stilbe,AJ616330.1,AJ429350.1,,AF027287.1,Z68827.1,AJ621125.1,,,
Stilbocarpa,U72387.1,,,,DQ133823.1,,,,
Stillingia,AF537588.1,KJ773185.1,,JN249092.1,JN249257.1,AY794629.1,,,
Stilpnogyne,KC900101.1,GU817557.1,,GU817933.1,AM234913.1,GU818095.1,,,
Stilpnolepis,AB359695.1,,,,,JF940194.1,,,
Stilpnopappus,,,,,,,,,
Stilpnophyllum,AY538376.1,AY538423.1,,GQ852300.2,AY538510.1,AY538476.1,,,
Stimpsonia,AJ491425.1,,,AF421113.1,,,,,
Stipa,KC129440.1,KM487286.1,,HE573458.1,U31442.1,JQ972961.1,,,
Stipagrostis,HM347039.1,HE573955.1,,GU222711.1,U31378.1,DQ172299.1,,,
Stipecoma,,EF456314.1,,,,EF456193.1,,,
Stiporyzopsis,,,,,,,,,
Stipularia,AM409058.1,KC627528.1,,HM164397.1,HM164180.1,,,,
Stipulicida,,KJ773186.1,,,KJ773933.1,,,,
Stirtonanthus,AJ409907.1,KM896922.1,,,AM259369.1,,,,
Stisseria,,,,,,,,,
Stixis,KR936121.1,JQ733092.1,,JQ733113.1,JQ733126.1,JQ733139.1,,,
Stizolobium,,,,,,,,,
Stizolophus,AY826336.1,AY785121.1,,JF754865.1,KC589899.1,AY772372.1,,,
Stizophyllum,,JQ587030.1,,DQ222639.1,KJ594507.1,FJ870057.1,,,
Stobaea,,,,,,,,,
Stocksia,,,,,,,,,
Stockwellia,AF390445.1,AY525138.1,,AY498812.1,HQ287611.1,,,,
Stoebe,JF893878.1,KP110156.1,,,AM234914.1,KR559438.1,,,
Stoeberia,,KF132765.1,,,KF132620.1,KF132862.1,,,
Stoibrax,KJ473891.1,,,,,,,,
Stokesia,KJ475263.1,,,,,,HM030738.1,,
Stokesiella,,,,,,,,,
Stolonivector,,,,,,,,,
Stolonophora,,,,,,,,,
Stolzia,,KU748095.1,,,KU748023.1,,,,
Stomatanthes,KP901202.1,KJ637193.1,,KP454994.1,,KP901245.1,,,
Stomatium,,KF132766.1,,,KF132621.1,KF132863.1,,,
Stomatochaeta,,EU385401.1,,EU385210.1,EU385021.1,EU385116.1,,,
Stomatostemma,DQ916864.1,,,,,AJ431781.1,,,
Stonea,,,,,,,,,
Stoneobryum,,,,,AY452694.1,AY636012.1,,,
Stonesia,,FM877841.1,HQ331824.1,HQ331983.1,HQ332116.1,,,,
Stonesiella,,,,,,,,,
Storckiella,,EU362052.1,,,AM234249.1,AY232771.1,,,
Stormesia,,,,,,,,,
Stracheya,,,,,,,,,
Stramentopappus,EF155801.1,,,EF155713.1,,EF155889.1,,,
Straminergon,AF168143.1,,,,GU568680.1,AY626007.1,,AF322349.1,
Strasburgeria,,HQ680701.1,GU351308.1,EU002262.1,AJ403007.1,,AF502596.1,AF502597.1,
Stratiotes,AY870357.1,HQ456472.1,,HQ901543.1,KM360999.1,,JF975493.1,HQ901515.1,
Straussiella,FJ687331.1,,,,,,,,
Streblacanthus,EU087463.1,,,,,EU087558.1,,,
Streblochaete,,,,,,,,,
Streblopilum,,,,,,,,,
Streblorrhiza,,,,,,,,,
Streblosa,,,,,,JN643558.1,,,
Streblosiopsis,,,,,,,,,
Streblotrichum,JQ890490.1,,,,AF478225.1,,,,
Streblus,EF635452.1,GQ434235.1,,AY289278.1,AF500353.1,KT207490.1,GU476476.1,,
Streimannia,,,,,,,,,
Strelitzia,AF434902.1,KP083047.1,AY453112.1,FJ861143.1,L05461.1,FJ621298.1,AF069229.1,AF168948.1,
Strempeliopsis,,,,,,AF214275.1,,,
Strephonema,AF508249.1,KC627598.1,,KU761940.1,FJ381824.1,,,,
Strepsilejeunea,,,,,,,,,
Streptanthella,GU246180.1,,,EU718578.1,,GU246238.1,,,
Streptanthus,AH007651.2,,,DQ288835.1,FN594831.1,AY958575.1,,,
Streptocalypta,,,,,,,,,
Streptocarpus,KR704138.1,AF531810.1,,AF012846.1,AM234985.1,KR704020.1,,,
Streptocaulon,JQ086329.1,LM651033.1,,,AB925782.1,LM651039.1,,,
Streptochaeta,AF019785.1,HE573921.1,,HQ181135.1,HQ182451.1,EF137515.1,,HQ180480.1,
Streptocolea,,,,,,,,,
Streptoglossa,JX564760.1,AF151513.1,,LN607763.1,,,,,
Streptogyna,,,,GU222721.1,EF125113.1,,,,
Streptolirion,,,,,KF724346.1,,,,
Streptoloma,FM164618.1,,,,,,,,
Streptolophus,,,,,,,,,
Streptopetalum,JQ723364.1,AB536649.1,,,AB536571.1,JQ723393.1,AB536688.1,AB536610.1,
Streptopogon,,,,,AF478231.1,,,,
Streptopus,,JN417359.1,,KM085828.1,KM085574.1,KF977459.1,,KM085955.1,
Streptosiphon,DQ028426.1,,,,,DQ054870.1,,,
Streptosolen,KP100275.1,,,EU580948.1,,EU581064.1,,,
Streptostachys,KP878912.1,HE574146.1,,EU805489.1,HE573443.1,KP879154.1,,,
Streptotrichum,,,,,,,,,
Striga,KC480402.1,FR728647.1,,,AF026841.1,KJ563216.1,,,
Strigosella,,,,,,,,,
Strobilanthes,AY489398.1,KP093336.1,,U12666.1,JQ933455.1,AY491717.1,AB044410.1,,
Strobilanthopsis,JX443810.1,,,,,,,,
Strobocalyx,HQ158412.1,JN837396.1,,HQ158516.1,,HQ158464.1,,,
Stroemia,,,,,,,,,
Stroganowia,,,,,,,,,
Stromanthe,KU215066.1,AY140334.1,,,JQ592623.1,AY140417.1,,,
Strombocactus,,HM041782.1,,,KC777012.1,HM041362.1,,,
Strombosia,AY702553.1,DQ790193.1,DQ110360.1,,DQ790157.1,,AF039079.1,,
Strombosiopsis,,DQ790191.1,,,DQ790155.1,,,,
Strombulidens,,,,,,,,,
Strongylodon,,KP230714.1,,,AF308729.1,,,,
Strophanthus,KP092771.1,EF456290.1,,,X91771.1,EF456192.1,,,
Strophioblachia,,,,,AJ418806.1,AY794728.1,,,
Strophocaulos,,,,,,,,,
Strophopappus,KM053334.1,,,KM243881.1,,,,,
Strophostyles,AY508803.1,DQ443470.1,,,,EU717345.1,,,
Strotheria,AF413597.1,,,AF405261.1,,,,,
Struchium,,,,,,,,,
Struckia,KF882239.1,KF882128.1,,,KF882044.1,KF882192.1,,DQ646090.1,
Strumaria,JX464280.1,JX464544.1,,FJ264236.1,AF116985.1,JX464357.1,,,
Strumpfia,AY205362.1,AJ388204.1,,AJ236313.1,Y18719.1,AF152714.1,,,
Struthanthus,DQ333856.1,EU544457.1,,,EU544474.1,EU544509.1,L24421.1,,
Struthiola,AJ745756.1,KP110158.1,,,AJ297241.1,,,,
Struthiopteris,,,,,,,,,
Strychnopsis,,KC494051.1,,EF624337.1,HQ260803.1,JN051793.1,,FJ026450.1,
Strychnos,KP092775.1,AB925253.1,GU351309.1,AJ235841.1,JQ626240.1,KM365151.1,,HQ384768.1,
Stryphnodendron,KT364100.1,KT364190.1,,,JQ626052.1,KT364034.1,,,
Stuartina,EF187650.1,AF151514.1,,,,,,,
Stubendorffia,DQ780944.1,,,,,AM991729.1,,,
Stuckenia,KF270925.1,JN894783.1,,,KC584898.1,DQ786421.1,,AB250128.1,
Stuckertiella,KT865596.1,,,,,KM091412.1,,,
Stuessya,HQ688851.1,,,,,,,,
Stuhlmannia,,JX099335.1,,,AY904395.1,AF430789.1,,,
Stussenia,,,,,,,,,
Stutzia,HM005840.1,HM005759.1,,,HM587610.1,HE577502.1,,,
Stylapterus,AM235875.1,AY151596.1,,AJ605106.1,AJ605092.1,,AM235513.1,,
Stylidium,AF451612.1,AJ429390.1,,AJ225079.1,L18790.1,,AJ236011.1,AJ236201.1,
Stylisma,,KJ773189.1,,,AY101019.1,AY101128.1,,AY100810.1,
Styloceras,AF245431.1,,,AF241602.1,AF093733.1,,AF094563.1,AF093421.1,
Stylochaeton,,AM920598.1,,,AM905776.1,AM933327.1,,,
Stylochiton,,,,,,,,,
Stylocline,FN645819.1,,,,,FN645791.1,,,
Stylogyne,AF164019.1,GQ982104.1,,AY839952.1,U96651.1,,,,
Stylolejeunea,,,,,,,,,
Stylophorum,JX079036.1,JX087859.1,,JX087793.1,U86633.1,AY328252.1,,U86388.2,
Stylophyllum,,,,,,,,,
Stylosanthes,AF203550.1,AF203594.1,,,KJ773936.1,KR737609.1,,,
Stylosiphonia,,,,,,,,,
Stylostegium,,,,,,,,,
Stylotrichium,KP901177.1,,,KP454995.1,,KP901230.1,,,
Stypandra,,JX903617.1,,JX903452.1,JX903206.1,AY125901.1,,JX903869.1,
Styphelia,KC197127.1,AY005105.1,,,KC494256.1,,,,
Styphnolobium,JQ676979.1,JQ619940.1,,,,,,,
Styppeiochloa,,LN906785.1,,LN908183.1,LN908020.1,,,,
Styrax,KP092687.1,HQ427281.1,AF520205.1,,JQ626303.1,KP793353.1,U43296.1,AF420984.1,
Styrophyton,,,,,,,,,
Suaeda,LC027281.1,KF679794.1,,HM630079.1,KR057204.1,DQ499398.1,KT152016.1,,
Suarezia,,,,,,,,,
Suberanthus,AY730300.1,,,GQ852284.1,AM117280.1,AF152736.1,,,
Subularia,GQ424565.1,,,,KM361000.1,,,,
Succisa,KF993463.1,AY290033.1,,AF130191.1,FJ640593.1,AY290007.1,,,
Succisella,GU168631.1,GU168653.1,,AY075139.1,FJ640594.1,GU168711.1,,,
Succowia,AF263395.1,,,,,,,,
Suckleya,HM014164.1,,,,HM587611.1,HE577484.1,,,
Sucrea,KC990724.1,,,AF182343.1,,,,,
Sudacaste,,,,,,,,,
Sudamerlycaste,,EF079254.1,,,,,,,
Suddia,,,,,,,,,
Suessenguthia,AY530741.1,,,,,,,,
Suessenguthiella,,FN825756.1,,,AM235032.1,,,,
Suksdorfia,U51257.1,L34146.1,,,,,,,
Sulcorebutia,,,,,AM502397.1,,,,
Sullivantia,U51258.1,L34113.1,,,U06219.1,,U42812.1,AF209682.1,
Sumatroscirpus,,,,,FN870936.1,,,,
Sumbaviopsis,KR532593.1,LK021498.1,,,AJ418811.1,AY794732.1,AB268087.1,AB267983.1,
Summerhayesia,,,,,,,,,
Sundacarpus,KF714015.1,HM593788.1,,,AF249663.1,AY083078.1,AF342752.1,,
Sunipia,,,,,,,,,
Suregada,DQ006006.1,FJ670018.1,FJ670369.1,FJ670091.1,AY794867.1,AY794664.1,AB268107.1,AB268003.1,
Suriana,,AY386950.1,,EU002264.1,U07680.1,,,,
Sutera,AJ550611.1,,,AJ550565.1,AM235149.1,AY712661.1,,,
Sutherlandia,KP338216.1,AY386913.1,,,AM235010.1,KP338341.1,,,
Sutrina,FJ565338.1,FJ564828.1,,,FJ534176.1,,,,
Suttonia,,,,,,,,,
Suzukia,KF529655.1,HQ911562.1,,,,KF529960.1,,,
Svenkoeltzia,AJ539493.1,AJ543921.1,,,AJ542431.1,,,,
Svitramia,JQ730143.1,,,,,,,,
Swainsona,AF113857.1,AF142735.1,,,,,,,
Swallenia,GU359217.1,JN681626.1,,GU359669.1,JN681705.1,EF156735.1,,,
Swartsia,,,,,,,,,
Swartzia,EF560924.1,AF142678.1,,,U74194.1,AY232776.1,,,
Sweetia,JX152669.1,JX152620.1,,,,AF524883.1,,,
Swertia,,LM644053.1,,,KP184447.1,KF317163.1,,,
Swida,JF980315.1,U96893.1,,EU373582.1,AF190433.1,JN102153.1,,EU373561.1,
Swietenia,JN565009.1,KJ012793.1,GU351311.1,EU002265.1,U39080.2,FN599482.1,,AF066857.1,
Swinglea,AB456045.1,AB762359.1,,,AB505960.1,AY295285.1,,EF118899.1,
Syagrus,,HQ265572.1,,AY044568.1,AY044634.1,AJ241310.1,,AY044471.1,
Sycopsis,GU576677.1,AF013057.1,,,AM183431.1,GU576848.1,,AM183398.1,
Sylvichadsia,EU729481.1,,,,,,,,
Symbiezidium,DQ987302.1,,,,AY548079.1,DQ987408.1,,,
Symblepharis,,,,,,AF435349.1,,,
Symbolanthus,EU528152.1,AJ388198.1,,,EU528163.1,EU528055.1,KC535950.1,,
Symmeria,GQ206268.1,GQ206209.1,,GQ206300.1,GQ206235.1,,,,
Symonanthus,AJ492456.1,AJ585879.1,,AY098724.1,,AY098694.1,,,
Sympegma,EF453510.1,,,DQ097406.1,AY270138.1,,,,
Sympetalandra,,,,,,,,,
Sympetaleia,,,,,,,,,
Symphipappus,,,,,,,,,
Symphonia,,,,,,,,,
Symphorema,,,,,,,,,
Symphoria,,,,,,,,,
Symphoricarpos,AY236174.1,AF446904.1,EU281122.1,KT176835.1,KT178118.1,GQ305430.1,KT179690.1,KT176247.1,
Symphostemon,,,,,,,,,
Symphyllocarpus,,,,,,,,,
Symphyllophyton,AJ011462.1,AJ010530.1,,,,,,,
Symphyobasis,,,,,,,,,
Symphyodon,HQ443774.1,,,,AB491808.1,,,,
Symphyogyna,AY763539.1,,,,AY734694.1,AY688814.1,X91783.1,AY688825.1,
Symphyogynopsis,AY289182.1,,,,AB476601.1,,,,
Symphyomitra,,,,,,,,,
Symphyopappus,KP454432.1,,,KP454996.1,,,,,
Symphyotrichum,GU818492.1,KJ593125.1,,L39449.1,KU934275.1,GU817970.1,,,
Symphysia,AF382705.1,U89750.1,,AF419733.1,,,,,
Symphysodon,,,,,,,,,
Symphysodontella,,,,,,,,,
Symphytum,KT158636.1,KF287849.1,,KF287933.1,EU599878.1,KF288112.1,,,
Sympieza,,,,,,,,,
Symplectochilus,,,,,,,,,
Symplectrodia,KT199557.1,KT199430.1,,,,,,,
Symplocarpus,FJ874946.1,AM920551.1,,DQ400883.1,L10247.2,KJ635409.1,,,
Symplococarpon,HM061535.1,,,,,HM061570.1,,,
Symplocos,KF002876.1,KF002920.1,AF520111.1,AY725878.1,JQ625921.1,KF002965.1,U43297.1,AJ235617.2,
Synadenium,KF409384.1,KC019452.1,,KC019811.1,JN249411.1,AY794602.1,AB268114.1,AB268010.1,
Synammia,,,,,AY362597.1,DQ168821.1,,EF463517.1,
Synandra,,HQ911427.1,,,,EF546893.1,,,
Synandrodaphne,,,,,AJ297240.1,,,,
Synandrospadix,,AM920593.1,,,AM905771.1,EF173594.1,,,
Synaphlebium,,,,,,,,,
Synapsis,,,,AY919282.1,AY919278.1,,,,
Synaptantha,AM939547.1,,,,Y18720.1,EU543167.1,,,
Synaptolepis,,JX518008.1,,,AJ297239.1,,,,
Synaptophyllum,AJ577763.1,,,,AM234794.1,KC834553.1,,,
Syncalathium,JF978846.1,JF956603.1,,,KF732081.1,HQ436138.1,,,
Syncarpha,KP294131.1,HM445600.1,,EU385211.1,EU385022.1,KP294159.1,,,
Syncarpia,KM065007.1,AF368220.2,,AY498813.1,KM895675.1,,,,
Syncephalum,KT865601.1,,,,,,,,
Synclisia,,,,,,,,,
Syncolostemon,,JF357832.1,,,,AJ505523.1,,,
Syncretocarpus,HQ688837.1,,,,,,,,
Syndesmanthus,,,,,,,,,
Syndiclis,KC958652.1,,,,,KC958618.1,,,
Syndyophyllum,,,,,AY794967.1,AY794805.1,,,
Synechanthus,,DQ178700.1,,DQ273129.1,AJ404786.1,AM497779.1,,,
Synedrella,EF108404.1,AY215866.1,,AF384788.3,AY215183.1,AY216243.1,,,
Synedrellopsis,,,,,,,,,
Syneilesis,AY176163.1,GU817558.1,,L39432.1,,GU818096.1,,,
Synelcosciadium,EU169327.1,,,,,,,,
Syngonanthus,KT724345.1,KJ773197.1,,EF394005.1,AJ419943.1,KF840889.1,,HQ180481.1,
Syngonium,GQ434866.1,EU542588.1,,,AM905789.1,AY555177.1,,,
Syngramma,,,,,,,,,
Syngrammatopsis,,,,,,,,,
Synhymenium,,,,,,,,,
Synima,EU720430.1,AY724333.1,,,JN564338.1,KC428616.1,,,
Synnema,,,,,,,,,
Synnotia,,,,,,,,,
Synodontia,,,,,,,,,
Synotis,EF538402.1,AF459973.1,,AY723217.1,,AY723180.1,,,
Synoum,DQ861618.1,KM894804.1,,,AY128242.1,,,,
Synsepalum,DQ246698.1,KC627538.1,,AY230740.1,HQ158554.1,HQ158591.1,,,
Synstemon,DQ357599.1,,,,,,,,
Synthetodontium,,,,,,,,,
Synthlipsis,AF137590.1,,,JQ323083.1,FN594841.1,,,,
Synthyris,KJ630619.1,,,,,KJ630716.1,,,
Syntriandrium,,JN051859.1,,JN051729.1,FJ026511.1,JN051794.1,,HQ260860.1,
Syntrichia,KP307511.1,LN828330.1,,GU295934.1,GU295873.1,KF418172.1,AF023682.1,GU295849.1,
Syntrichopappus,AF229287.1,,,,,,,,
Synurus,AY826338.1,AY013552.1,,L39415.1,KC589901.1,AY772373.1,,,
Syreitschikovia,FJ007891.1,AY785122.1,,KC590004.1,KC589902.1,AY772374.1,,,
Syrenia,,,,,,,,,
Syringa,KM496484.1,JN591003.1,HQ593756.1,AF130228.1,DQ673303.1,JN591020.1,HQ384685.1,HQ384751.1,
Syringantha,GQ852156.1,,,GQ852285.1,GQ852360.1,,,,
Syringodea,,AM941386.1,,EU110380.1,AJ309670.1,AM941385.1,,,
Syringodium,,KF488511.1,,,KF488496.1,,AF168876.1,,
Syringothecium,,,,,,,,,
Syrmatium,,,,,,,,,
Syrrheonema,,,,,,,,,
Syrrhonema,,,,,,,,,
Syrrhopodon,AY765422.1,,,,LC027627.1,DQ238506.1,Y16010.1,,
Systegium,,,,,,,,,
Systellantha,,,,,,,,,
Systeloglossum,FJ565214.1,FJ564728.1,,,FJ534165.1,AF350686.1,,,
Systemonodaphne,,,,,,,,,
Systenotheca,JQ352593.1,,,,,JQ352741.1,,,
Syzygiella,GQ900064.1,,,,KF943589.1,EU791721.1,X94261.1,KF852034.1,
Syzygium,KU301787.1,AY525141.1,,DQ088532.1,KT626830.1,KU853255.1,,,
Szweykowskia,,,,,,,,,
Tabebuia,JX856517.1,HQ384521.1,,L36416.1,HQ384887.1,EF105099.1,,HQ384726.1,
Tabernaemontana,HQ386697.1,LN883876.1,,,JQ626323.1,LN883869.1,,,
Tabernanthe,,GU973973.1,,,AJ419763.1,AF214278.1,,,
Tacarcuna,,,,,AY663623.1,,,,
Tacazzea,DQ916866.1,AY899945.1,,,AJ419764.1,DQ221206.1,,,
Tacca,,KP083036.1,DQ401377.1,AY007659.1,JN850581.1,JN850601.1,AB679372.1,AF308025.1,
Taccarum,,AM920592.1,,,AM905770.1,EF173595.1,,,
Tachia,DQ401423.1,AJ388193.1,,,,,,,
Tachiadenus,AJ489923.1,FJ014135.1,,,FJ014086.1,FJ014017.1,,,
Tachigali,KR492620.1,EU362040.1,,,AM234242.1,KR872694.1,,,
Tacinga,JF787029.1,HM041784.1,,,JF787307.1,HM041364.1,,,
Tacitus,AY545718.1,AF115680.1,,,,AY540579.1,,,
Tacsonia,,,,,,,,,
Tadehagi,JN407464.1,KF621106.1,,,GQ436342.1,KF621117.1,,,
Taeniandra,,,,,,,,,
Taeniatherum,AJ608153.1,KM040677.1,,DQ247902.1,AY836184.1,,,,
Taenidia,,,,,,,,,
Taeniochlaena,,,,,,,,,
Taeniolejeunea,,,,,,,,,
Taeniophyllum,DQ091724.1,AB217766.1,,,,KJ733690.1,,,
Taeniopsis,,,,,,,,,
Taeniorhachis,,,,,,,,,
Taeniorrhiza,,,,,,,,,
Taenitis,,KF289516.1,,,KJ416345.1,,,KP164493.1,
Tafalla,,,,,,,,,
Tagetes,JX867645.1,AY215867.1,,L39466.1,GU817785.1,GU818097.1,,KJ434436.1,
Tahina,,AM779616.1,,,AM779615.1,AM779617.1,,,
Tainia,KM025168.1,KF852709.1,,,AF264169.1,KF650561.1,,,
Taiwania,AY917084.1,AB030128.1,,,L25756.2,JF514859.1,FJ009673.1,,
Taiwanobryum,LC041104.1,,,,,,,,
Takakia,AJ251927.1,LN828294.1,,GU295929.1,AB476602.1,AY651832.1,AJ269686.1,AB299148.1,
Takhtajania,AY004129.1,KP407452.1,DQ007427.1,,AY572264.1,,AF207032.1,AY572287.1,
Takhtajaniantha,AY508205.1,,,,,,,,
Talamancalia,EF538403.1,GU817560.1,,GU817816.1,,GU818098.1,,,
Talassia,,,,,,,,,
Talauma,JN115033.1,KU519654.1,AF197770.1,,,AB570261.1,,,
Talbotiella,,EU362055.1,,,KC628406.1,,,,
