taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Afrotrewia,,,,,DQ991513.1,DQ991516.1,,,
Afrotrichloris,KP873213.1,,,,,,,,
Afrotrilepis,,,,,FN870756.1,,,,
Afrotysonia,KF288024.1,,,,,,,,
Afrovivella,,,,,,,,,
Afzelia,,EU361846.1,,,KC628648.1,KF794164.1,,,
Agalinis,EU827862.1,JX091307.1,,AY563931.1,GU943655.1,,,,
Agalmyla,FJ501361.1,,,U62171.2,FJ501420.1,HQ632893.1,,,
Aganisia,AY870104.1,AY870007.1,,,,AY869907.1,,,
Aganonerion,,,,,,JX003608.1,,,
Aganope,KP092718.1,JX506604.1,,,AF308702.1,JX506489.1,,,
Aganosma,,EF456274.1,,,,EF456144.1,,,
Agapanthus,AF373070.1,JQ276383.1,,HQ181102.1,JQ273888.1,AF508516.1,GQ497566.1,JQ273593.1,
Agapetes,AF382650.1,U89754.1,,AF419720.1,AF419811.1,,,,
Agarista,,,,,,,,,
Agastache,AJ421000.1,AY840146.1,,,Z37383.1,AY570452.1,,,
Agastachys,,EU169607.1,,,DQ875824.1,,,AF060393.1,
Agasthiyamalaia,,,,,,,,,
Agasyllis,,,,,,,,,
Agatea,,AB354474.1,,,AB354402.1,KC699632.1,AB354509.1,AB354438.1,
Agathelpis,,,,AJ401411.1,,,,,
Agathis,,,,,,,,,
Agathisanthemum,AM939424.1,,,,Z68787.1,EU543078.1,,,
Agathophora,,,,,,,,,
Agathosma,,FJ716745.1,,,AM235115.1,EU853776.1,,,
Agauria,,,,,,,,,
Agave,AM884839.1,JX903544.1,DQ401408.1,AF508398.1,HM640478.1,AF508509.1,AF206841.1,AF209521.1,
Agdestis,JX232581.1,AY042538.1,,,AF132092.1,,,,
Agelaea,,KU853104.1,AF520195.1,,,KU853227.1,,,
Agelanthus,DQ333824.1,EU544410.1,,,EU544464.1,DQ340573.1,U59946.1,,
Agenium,,,,,,,,,
Ageratella,,,,,,,,,
Ageratina,AY576867.1,HQ416282.1,,HQ416193.1,HQ416169.1,HQ221569.1,,,
Ageratinastrum,,,,,,,,,
Ageratum,KT779102.1,EU337054.1,,EU337042.1,,,,,
Agianthus,,,,,,,,,
Aglaia,KF212169.1,KU519686.1,AF520147.1,,KR528630.1,KF211827.1,,FN599829.1,
Aglaodorum,,AM920580.1,,,AM905758.1,AM933314.1,,,
Aglaomorpha,,,,,,,,,
Aglaonema,,AM920579.1,,,AM905757.1,EF173563.1,,,
Aglossorrhyncha,,,,,,,,,
Agnesia,,,,,,,,,
Agnorhiza,AY196748.1,,,,,,,,
Agonandra,DQ333868.1,DQ790169.1,,,DQ790130.1,DQ340619.1,L24079.1,,
Agonis,KM064814.1,AF184711.2,,AY498762.1,AF184676.2,,GU476435.1,,
Agoseris,AF386494.1,AJ633249.1,,,JX848400.1,AF118906.1,,,
Agouticarpa,AF183792.1,,,KF965008.1,KF964807.1,AF201046.1,,,
Agrianthus,KP901145.1,,,KP454892.1,,KP901207.1,,,
Agrimonia,EU591993.1,JN894283.1,,,HM849744.1,HQ853220.1,,,
Agriophyllum,KT229677.1,AY514827.1,,AY858623.1,AY270051.1,,,,
Agrocharis,KF160675.1,,,,,,,,
Agroelymus,,,,,,,,,
Agrohordeum,,,,,,,,,
Agropogon,,,,,,,,,
Agropyron,KP723651.1,KP723675.1,,AF267661.1,JX848483.1,KJ755832.1,,,
Agropyropsis,,,,,,,,,
Agrositanion,,,,,,,,,
Agrostemma,X86895.1,FJ589503.1,,,KM360618.1,JN589684.1,,,
Agrostis,KM999962.1,GU338987.1,,DQ786805.1,LN907873.1,FJ394555.1,,DQ780951.1,
Agrostistachys,,LK021373.1,,,AB233856.1,HG971810.1,AB233544.1,AB233648.1,
Agrostocrinum,,,,AY225069.1,JQ417655.1,,,,
Agrostophyllum,JN114433.1,AY368391.1,,,AY368351.1,AF519965.1,,,
Agrostopoa,,,,,,,,,
Agrotrigia,,,,,,,,,
Aguiaria,,,,,,,,,
Ahernia,,,,AY757092.1,,,,,
Aichryson,AY082105.1,AF115587.1,,,HM849749.1,AY568341.1,,,
Aidia,KP092776.1,KJ708813.1,,,KR528641.1,KJ136949.1,,,
Aidiopsis,,,,,,,,,
Ailanthus,KM051450.1,FM179922.1,AF520106.1,EU002194.1,KM360619.1,FN599505.1,AF206842.1,EU042774.1,
Ainsliaea,AB288439.1,KF989915.1,,EU385131.1,EU384945.1,KF989714.1,,KM191984.1,
Ainsworthia,EU169243.1,KX401336.1,,,,,,KX401424.1,
Aiouea,KU139905.1,AJ247143.1,,,JQ625982.1,AF268696.1,,,
Aiphanes,HQ265484.1,HQ265533.1,,AY044556.1,AY044626.1,HQ265765.1,,AY044463.1,
